word	Complex Substance (Locke) <> Mixed Modes (Locke)	Concrete (Brysbaert et al 2014) <> Abstract (Brysbaert et al 2014)	Concrete (HGI) <> Abstract (HGI)	Hard Seed (Heuser & Le-Khac 2012) <> Abstract Values (Heuser & Le-Khac 2012)	Pre-1150 Words (Underwood & Sellars 2012) <> Post-1150 Words (Underwood & Sellars 2012)	Specific Complex Substance (Locke) <> General Complex Substance (Locke)	fpm	lang	pos	rank	ConcAbs (Locke)	ConcAbs (HGI)	lemma	perc_caps	pos_byu	rank_byu
a	-0.021676485426699997	-0.06649352610119999	-0.0044159780955	-0.0471939593554	-0.06531912088399999	0.046242564916699994	17640.010932	enm	d	6	Neither	Neither	a	0.06	at	4
abandon	0.133911363781	0.209685668349	0.0230769170448	0.144312150777	0.0907809436321	0.0481251813471	13.3205562399	eng	v	4926	Abstract	Neither	abandon	0.02	vv0	6691
abandoned	0.06833512708549999	0.210272923112	0.127084463835	0.196901701391	0.101440049708	0.0878067947924	24.9627195552	eng	v	3087	Neither	Neither	abandon	0.03	vvn	5647
abandoning	0.16013855487099998	0.216599851846	0.12206049635999999	0.156764037907	0.150180801749	0.05907425098119999	2.92872139302		v	12857	Abstract	Neither	abandon	0.07	vvg	12157
abandons	0.144083149731	0.173432022333	0.0713482648134	0.11440852657	0.0304190721363	0.120895966887	0.861788657736		v	23099	Abstract	Neither	abandon	0.02	vvz	29840
abate	0.148587219418	0.113349273801	-0.0378713328391	0.082991424948	0.0262852627784	0.0423530992121	11.0058954658	eng	v	5617	Abstract	Neither	abate	0.2	vv0	32217
abated	0.07121575996280001	0.0603269971907	0.010921367909699999	0.0175139945932	-0.0031849741935700004	-0.015591319184700001	10.7084756681		v	5725	Neither	Neither	abate	0.0	vvn	34828
abatement	0.158885627985	0.076909352094	0.0846047401428	0.08662272244689999	0.13579431176200002	0.0979592762888	6.53531655791	eng	n	7969	Abstract	Neither	abatement	0.08	nn1	23963
abatements	0.203567199409	0.146447703243	0.148123674095	0.125914737582	0.19447679817699998	0.106932338328	0.902058771877		n	22656	Abstract	Abstract	abatement	0.0	nn2	64055
abates	0.0953371822834	0.0213490431196	-0.013441049261000001	-0.0129267559387	-0.0237343907357	0.0750224292278	2.12973434938		n	15227	Neither	Neither	abate	0.0	vvz	67593
abating	0.114279296249	0.0761461965739	0.0250159120188	0.0368831474334	0.059375008568199994	-0.0019803726463599996	2.07334725369	eng	v	15424	Neither	Neither	abate	0.0	vvg	43256
abbess	-0.150720365345	-0.06663669832050001	-0.00893258210271	0.0675992481411	-0.0103801931255	-0.0967086963356	2.6863137340400005		n	13466	Concrete	Neither	abbess	0.45	nn1	44139
abbey	-0.235231466592	-0.155235677957	-0.09959516674289999	-0.0613293498755	-0.025849119760099997	-0.07176088169219999	15.6373251269	eng	n	4401	Concrete	Neither	abbey	0.8	nn1	13379
abbeys	-0.166241943836	-0.0457886364311	-0.0197839969769	-0.00509570259601	0.07201644405720001	-0.00657855486497	2.51272656518		n	13966	Concrete	Neither	abbey	0.02	nn2	73438
abbot	-0.204348199069	-0.08506312593810002	-0.0286085177213	0.0211904710158	0.0284493006766	-0.0862049646675	17.3595333942	eng	n	4044	Concrete	Neither	abbot	0.46	nn1	33954
abbots	-0.188183315098	-0.0326360315085	0.015859132167	0.0149113005027	0.059423666447400006	-0.0323288273066	4.3997647958699995		n	10192	Concrete	Neither	abbot	0.06	nn2	63181
abdicated	-0.018237561453099998	0.08871067315339999	0.0458733495325	0.0538695678114	0.12353376299100001	0.0138440993615	1.4351633870200002		v	18385	Neither	Neither	abdicate	0.0	vvn	55588
abdication	0.06272245198490001	0.114870388061	0.12121704965800001	0.10662119463099999	0.226073428988	0.0249435044825	1.4856365174700001		n	18092	Neither	Neither	abdication	0.03	nn1	38031
abdomen	-0.11803990974999999	-0.233602672815	-0.163954228162	-0.228278361261	-0.006662318948659999	0.0882435664535	8.048676592180001	eng	n	6968	Neither	Concrete	abdomen	0.01	nn1	13312
abdominal	-0.062107458710699996	-0.147999793291	-0.11278315633500001	-0.175361990929	0.066229224205	0.10519641637800001	1.81321918042	eng	j	16506	Neither	Neither	abdominal	0.05	jj	14151
abet	0.0519302841276	0.127441793681	0.0156348240561	0.0897442810238	0.101031523198	0.00353494941373	1.23355900434	eng	v	19717	Neither	Neither	abet	0.16	vv0	50391
abetted	0.0677878707647	0.204414434731	0.129263378679	0.17260129749800002	0.222351372242	0.054031284526000006	0.881244340256	eng	v	22881	Neither	Abstract	abet	0.04	vvn	39829
abetting	0.07020021975039999	0.137050226331	0.0942740477622	0.0971906222402	0.151214405894	0.0008485115831729999	1.0138221992		v	21575	Neither	Neither	abet	0.01	vvg	36680
abhor	0.158455662429	0.232611298562	0.112376570702	0.22224737703800002	-0.00331725890283	0.113367456943	8.50771868578	eng	v	6718	Abstract	Neither	abhor	0.01	vv0	37421
abhorred	0.08884360268710001	0.244364902377	0.181993193925	0.21564555913199998	0.0374554116279	0.125563178211	6.15215100005	eng	v	8283	Neither	Abstract	abhor	0.01	vvd	50061
abhorrence	0.294578447938	0.268641322851	0.257993757725	0.325890257954	0.17388228327100003	0.14023733139	9.51974979391	eng	n	6210	Abstract	Abstract	abhorrence	0.01	nn1	50920
abhors	0.150597788393	0.20737769454799998	0.134254671633	0.19857078790600002	0.0026964491116799995	0.157571844756	2.2565994185900005		v	14794	Abstract	Abstract	abhor	0.05	vvz	44801
abide	0.032681392505799996	0.08619334176200001	-0.014420179883000001	-0.0036155977286599994	-0.119040191174	-0.0327407158911	19.0573306852	eng	v	3780	Neither	Neither	abide	0.02	vv0	13498
abides	0.0273972256109	0.026845167391	-0.011014054995	-0.0560216419399	-0.157209999859	0.0446506515145	1.4788640058200002		v	18124	Neither	Neither	abide	0.01	vvz	50761
abiding	0.08062349632389999	0.0789807401598	0.100873339921	0.020976633764800003	-0.0323666203767	0.0483424775302	4.156693733969999	eng	v	10518	Neither	Neither	abiding	0.02	jj	20209
abilities	0.316794261336	0.230348616838	0.275231942535	0.295343577862	0.25167629122699997	0.189460590482	32.6973078221		n	2476	Abstract	Abstract	ability	0.02	nn2	4850
ability	0.30851699411899997	0.22954522073199998	0.247889213264	0.195652842522	0.174458265304	0.181401364505	18.6206729978	eng	n	3833	Abstract	Abstract	ability	0.01	nn1	802
abject	0.111561965198	0.245606012642	0.23820463568000003	0.277118265629	0.121938183904	0.199291549623	2.4778966977900003	eng	j	14079	Neither	Abstract	abject	0.02	jj	24337
abjure	0.07210217788810001	0.151834838092	0.0257988199592	0.113341744989	0.0647158306092	-0.0114936663304	2.11397573304	eng	v	15282	Neither	Neither	abjure	0.0	vv0	79924
abjured	0.0416073650121	0.15741943568	0.113232128322	0.117340799421	0.105459082871	-0.0010619031963899999	1.61241966472	eng	v	17429	Neither	Neither	abjure	0.0	vvd	93724
able	0.06855372339480001	0.146716840565	0.128065779805	0.0753947235644	0.042277032509500004	0.09758717194199999	252.30004605599999	eng	j	352	Neither	Neither	able	0.0	jj	360
ably	0.0849062055349	0.153917796909	0.148185953497	0.132803738118	0.100969288498	0.101841393858	2.12496119916		a	15246	Neither	Abstract	ably	0.01	rr	33443
aboard	-0.198890075088	-0.196179248393	-0.21332513540999998	-0.147585093976	-0.155251853168	-0.163164429366	7.704559721360001	eng	a	7174	Concrete	Concrete	aboard	0.04	ii	6295
abode	-0.00572170037776	-0.0495836772024	-0.0639634355903	-0.0499436743557	-0.08080584555869999	-0.0557477548719	17.8146170345	eng	n	3959	Neither	Neither	abode	0.04	nn1	30149
